Country,Crop,Year,Area_harvested_ha,Production_tonnes,Yield_kg_per_ha
Algeria,Eggplants (aubergines),2020,6262.0,178416.8,28492.0
Algeria,Eggplants (aubergines),2021,6395.0,192893.0,30163.5
Algeria,Eggplants (aubergines),2022,6547.0,205105.9,31330.0
Algeria,Eggplants (aubergines),2023,6840.0,220055.06,32170.1
Algeria,Fat of camels,2020,,437.57,
Algeria,Fat of camels,2021,,435.94,
Algeria,Fat of camels,2022,,450.24,
Algeria,Fat of camels,2023,,473.12,
Algeria,Fat of pigs,2020,,21.89,
Algeria,Fat of pigs,2021,,21.55,
Algeria,Fat of pigs,2022,,21.27,
Algeria,Fat of pigs,2023,,21.0,
Algeria,Figs,2020,39026.0,116143.0,2976.0
Algeria,Figs,2021,39065.0,107266.0,2745.9
Algeria,Figs,2022,40136.0,115170.35,2869.5
Algeria,Figs,2023,38374.0,116183.18,3027.7
Algeria,"Goat fat, unrendered",2020,,1110.08,
Algeria,"Goat fat, unrendered",2021,,1150.16,
Algeria,"Goat fat, unrendered",2022,,1166.19,
Algeria,"Goat fat, unrendered",2023,,1166.94,
Algeria,Grapes,2020,69319.0,554201.1,7994.9
Algeria,Grapes,2021,63443.0,630022.0,9930.5
Algeria,Grapes,2022,63816.0,619317.68,9704.8
Algeria,Grapes,2023,64465.0,619740.16,9613.7
Algeria,Green garlic,2020,11687.0,170929.6,14625.1
Algeria,Green garlic,2021,11374.0,195976.0,17230.4
Algeria,Green garlic,2022,11284.0,202003.85,17902.5
Algeria,Green garlic,2023,11347.0,212300.26,18710.2
Algeria,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2021,,3329.76,
Algeria,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2022,,3122.88,
Algeria,Groundnut oil,2020,,30398.59,
Algeria,Groundnut oil,2021,,29545.75,
Algeria,Groundnut oil,2022,,27368.37,
Algeria,"Groundnuts, excluding shelled",2020,4709.0,12354.6,2623.9
Algeria,"Groundnuts, excluding shelled",2021,5741.0,15840.0,2759.1
Algeria,"Groundnuts, excluding shelled",2022,6221.0,17913.78,2879.5
Algeria,"Groundnuts, excluding shelled",2023,5754.0,18252.77,3172.2
Algeria,"Hen eggs in shell, fresh",2020,,308456.45,282.0
Algeria,"Hen eggs in shell, fresh",2021,,305238.6,281.0
Algeria,"Hen eggs in shell, fresh",2022,,311930.12,267.0
Algeria,"Hen eggs in shell, fresh",2023,,308541.72,264.0
Algeria,"Horse meat, fresh or chilled",2020,,13.9,
Algeria,"Horse meat, fresh or chilled",2021,,17.3,
Algeria,"Horse meat, fresh or chilled",2022,,16.0,
Algeria,"Horse meat, fresh or chilled",2023,,16.0,
Algeria,Lemons and limes,2020,3991.0,85303.0,21373.8
Algeria,Lemons and limes,2021,4053.0,84018.0,20731.5
Algeria,Lemons and limes,2022,4008.0,85874.62,21427.9
Algeria,Lemons and limes,2023,4034.0,89860.27,22277.4
Algeria,"Lentils, dry",2020,14705.0,12111.8,823.7
Algeria,"Lentils, dry",2021,9098.0,7998.0,879.1
Algeria,"Lentils, dry",2022,5896.0,5708.99,968.3
Algeria,"Lentils, dry",2023,16612.0,16703.33,1005.5
